,video,audio,label,center
569,speaker260_0000,speaker260_0000,1,30
570,speaker327_0007,speaker327_0007,1,149
571,speaker058_0024,speaker058_0024,1,14
572,speaker244_0000,speaker220_0010,0,1
573,speaker277_0005,speaker277_0011,0,57
574,speaker089_0000,speaker089_0000,1,41
575,speaker082_0000,speaker082_0000,1,35
576,speaker243_0005,speaker243_0005,1,83
577,speaker190_0000,speaker190_0002,0,71
578,speaker216_0002,speaker216_0002,0,22
579,speaker203_0004,speaker203_0004,1,90
580,speaker276_0011,speaker276_0011,1,9
581,speaker107_0001,speaker107_0001,1,56
582,speaker255_0001,speaker255_0001,1,66
583,speaker203_0002,speaker203_0002,1,13
584,speaker194_0003,speaker194_0003,1,86
585,speaker070_0008,speaker070_0008,1,4
586,speaker206_0008,speaker206_0008,1,8
587,speaker153_0002,speaker153_0002,1,32
588,speaker245_0000,speaker245_0000,1,24
589,speaker183_0000,speaker255_0002,0,110
590,speaker222_0003,speaker222_0003,1,5
591,speaker181_0002,speaker181_0002,1,23
592,speaker124_0000,speaker124_0000,1,16
593,speaker329_0001,speaker156_0001,0,24
594,speaker250_0000,speaker250_0000,1,10
595,speaker202_0004,speaker202_0004,1,37
596,speaker105_0000,speaker105_0000,1,20
597,speaker323_0012,speaker323_0012,1,11
598,speaker043_0012,speaker043_0012,0,3
599,speaker213_0002,speaker213_0000,0,91
600,speaker183_0001,speaker183_0000,0,53
601,speaker041_0018,speaker041_0018,1,15
602,speaker229_0002,speaker229_0002,1,1
603,speaker281_0026,speaker281_0026,0,155
604,speaker158_0006,speaker158_0006,1,26
605,speaker085_0000,speaker085_0000,1,13
606,speaker289_0000,speaker289_0000,0,106
607,speaker154_0003,speaker154_0005,0,24
608,speaker137_0002,speaker137_0002,1,52
609,speaker180_0000,speaker180_0004,0,26
610,speaker237_0002,speaker237_0002,1,28
611,speaker209_0000,speaker251_0005,0,35
612,speaker124_0000,speaker124_0000,0,87
613,speaker332_0008,speaker332_0008,1,10
614,speaker172_0002,speaker172_0006,0,8
615,speaker275_0009,speaker101_0001,0,98
616,speaker190_0000,speaker190_0005,0,65
617,speaker327_0000,speaker053_0000,0,162
618,speaker167_0001,speaker167_0001,1,37
619,speaker194_0000,speaker194_0000,0,6
620,speaker209_0002,speaker209_0000,0,28
621,speaker035_0004,speaker035_0004,1,60
622,speaker203_0000,speaker203_0001,0,96
623,speaker275_0015,speaker275_0015,1,143
624,speaker175_0001,speaker175_0003,0,77
625,speaker216_0004,speaker170_0000,0,7
626,speaker036_0044,speaker036_0044,1,44
627,speaker266_0000,speaker266_0000,1,94
628,speaker175_0001,speaker175_0003,0,51
629,speaker115_0001,speaker037_0005,0,75
630,speaker170_0004,speaker170_0004,1,26
631,speaker131_0001,speaker131_0001,1,27
632,speaker315_0024,speaker315_0024,1,18
633,speaker142_0004,speaker142_0006,0,79
634,speaker284_0000,speaker284_0000,1,42
