,sampleID
263,speaker000_0396
264,speaker000_0397
265,speaker000_0398
266,speaker000_0401
267,speaker000_0404
268,speaker000_0406
269,speaker000_0407
270,speaker000_0408
271,speaker000_0411
272,speaker000_0412
273,speaker000_0414
274,speaker000_0415
275,speaker000_0417
276,speaker000_0418
277,speaker000_0419
278,speaker000_0420
279,speaker000_0421
280,speaker000_0423
281,speaker000_0424
282,speaker000_0425
283,speaker000_0426
284,speaker000_0427
285,speaker000_0428
286,speaker000_0430
287,speaker000_0432
288,speaker000_0434
289,speaker000_0436
290,speaker000_0437
291,speaker000_0439
292,speaker000_0440
293,speaker000_0441
294,speaker000_0443
295,speaker000_0444
296,speaker000_0447
297,speaker000_0448
298,speaker000_0450
299,speaker000_0455
300,speaker000_0458
301,speaker000_0460
302,speaker000_0461
303,speaker000_0462
304,speaker000_0463
305,speaker000_0466
306,speaker000_0468
307,speaker000_0475
308,speaker000_0476
309,speaker000_0477
310,speaker000_0479
311,speaker000_0480
312,speaker000_0482
313,speaker000_0486
314,speaker000_0488
315,speaker000_0489
316,speaker000_0491
317,speaker000_0493
318,speaker000_0494
319,speaker000_0495
320,speaker000_0496
321,speaker000_0497
322,speaker000_0498
323,speaker000_0499
324,speaker000_0502
325,speaker000_0505
326,speaker000_0506
327,speaker000_0507
328,speaker000_0508
329,speaker000_0509
330,speaker000_0511
331,speaker000_0513
332,speaker000_0514
333,speaker000_0515
334,speaker000_0517
335,speaker000_0518
336,speaker000_0519
337,speaker000_0522
338,speaker000_0523
339,speaker000_0526
340,speaker000_0527
341,speaker000_0528
342,speaker000_0529
343,speaker000_0533
344,speaker000_0534
345,speaker000_0535
346,speaker000_0536
347,speaker000_0537
348,speaker000_0538
349,speaker000_0539
350,speaker000_0540
351,speaker000_0543
352,speaker000_0544
353,speaker000_0546
354,speaker000_0550
355,speaker000_0551
356,speaker000_0552
357,speaker000_0553
358,speaker000_0554
359,speaker000_0555
360,speaker000_0556
361,speaker000_0557
362,speaker000_0558
363,speaker000_0559
364,speaker000_0560
365,speaker000_0561
366,speaker000_0562
367,speaker000_0563
368,speaker000_0564
369,speaker000_0565
370,speaker000_0566
371,speaker000_0567
372,speaker000_0571
373,speaker000_0572
374,speaker000_0574
375,speaker000_0576
376,speaker000_0577
377,speaker000_0578
378,speaker000_0579
379,speaker000_0580
380,speaker000_0581
381,speaker000_0582
382,speaker000_0583
383,speaker000_0584
384,speaker000_0585
385,speaker000_0587
386,speaker000_0588
387,speaker000_0589
388,speaker000_0590
389,speaker000_0591
390,speaker000_0592
391,speaker000_0594
392,speaker000_0596
393,speaker000_0597
394,speaker000_0598
395,speaker000_0599
396,speaker000_0602
397,speaker000_0604
398,speaker000_0605
399,speaker000_0606
400,speaker000_0607
401,speaker000_0609
402,speaker000_0610
403,speaker000_0612
404,speaker000_0613
405,speaker000_0614
406,speaker000_0615
407,speaker000_0616
408,speaker000_0617
409,speaker000_0620
410,speaker000_0621
411,speaker000_0624
412,speaker000_0626
413,speaker000_0627
414,speaker000_0631
415,speaker000_0632
416,speaker000_0633
417,speaker000_0637
418,speaker000_0638
419,speaker000_0639
420,speaker000_0640
421,speaker000_0642
422,speaker000_0643
423,speaker000_0645
424,speaker000_0647
425,speaker000_0649
426,speaker000_0650
427,speaker000_0654
428,speaker000_0655
429,speaker000_0656
430,speaker000_0657
431,speaker000_0659
432,speaker000_0661
433,speaker000_0665
434,speaker000_0666
435,speaker000_0667
436,speaker000_0668
437,speaker000_0669
438,speaker000_0670
439,speaker000_0671
440,speaker000_0672
441,speaker000_0674
442,speaker000_0675
443,speaker000_0676
444,speaker000_0677
445,speaker000_0678
446,speaker000_0679
447,speaker000_0681
448,speaker000_0682
449,speaker000_0683
450,speaker000_0685
451,speaker000_0686
452,speaker000_0687
453,speaker000_0688
454,speaker000_0689
455,speaker000_0691
456,speaker000_0692
457,speaker000_0693
458,speaker000_0694
459,speaker000_0696
460,speaker000_0697
461,speaker000_0698
462,speaker000_0699
463,speaker000_0700
464,speaker000_0701
465,speaker000_0702
466,speaker000_0703
467,speaker000_0705
468,speaker000_0706
469,speaker000_0707
470,speaker000_0708
471,speaker000_0709
472,speaker000_0711
473,speaker000_0712
474,speaker000_0714
475,speaker000_0716
476,speaker000_0720
477,speaker000_0722
478,speaker000_0723
479,speaker000_0724
480,speaker000_0725
481,speaker000_0726
482,speaker000_0728
483,speaker000_0729
484,speaker000_0730
485,speaker000_0731
486,speaker000_0733
487,speaker000_0734
488,speaker000_0735
489,speaker000_0736
490,speaker000_0737
491,speaker000_0738
492,speaker000_0740
493,speaker000_0742
494,speaker000_0743
495,speaker000_0745
496,speaker000_0746
497,speaker000_0748
498,speaker000_0749
499,speaker000_0750
500,speaker000_0753
501,speaker000_0754
502,speaker000_0755
503,speaker000_0756
504,speaker000_0758
505,speaker000_0759
506,speaker000_0761
507,speaker000_0762
508,speaker000_0763
509,speaker000_0764
510,speaker000_0766
511,speaker000_0768
512,speaker000_0771
513,speaker000_0775
514,speaker000_0776
515,speaker000_0777
516,speaker000_0778
517,speaker000_0779
518,speaker000_0784
519,speaker000_0785
520,speaker000_0786
521,speaker000_0787
522,speaker000_0788
523,speaker000_0789
524,speaker000_0790
525,speaker000_0791
526,speaker000_0792
527,speaker000_0794
528,speaker000_0797
529,speaker000_0798
530,speaker000_0799
531,speaker000_0800
532,speaker000_0802
533,speaker000_0803
534,speaker000_0805
535,speaker000_0806
536,speaker000_0807
537,speaker000_0808
538,speaker000_0809
539,speaker000_0810
540,speaker000_0811
541,speaker000_0813
542,speaker000_0814
543,speaker000_0815
544,speaker000_0816
545,speaker000_0817
546,speaker000_0818
547,speaker000_0819
548,speaker000_0820
549,speaker000_0822
550,speaker000_0826
551,speaker000_0827
552,speaker000_0828
553,speaker000_0829
554,speaker000_0830
555,speaker000_0831
556,speaker000_0833
557,speaker000_0834
558,speaker000_0837
559,speaker000_0841
560,speaker000_0843
561,speaker000_0844
562,speaker000_0846
563,speaker000_0848
564,speaker000_0849
565,speaker000_0853
566,speaker000_0854
567,speaker000_0855
568,speaker000_0856
569,speaker000_0860
570,speaker000_0862
571,speaker000_0864
572,speaker000_0865
573,speaker000_0866
574,speaker000_0867
575,speaker000_0868
576,speaker000_0869
577,speaker000_0871
578,speaker000_0872
579,speaker000_0873
580,speaker000_0874
581,speaker000_0876
582,speaker000_0877
583,speaker000_0880
584,speaker000_0884
585,speaker000_0885
586,speaker000_0886
587,speaker000_0887
588,speaker000_0888
589,speaker000_0890
590,speaker000_0893
591,speaker000_0895
592,speaker000_0896
593,speaker000_0898
594,speaker000_0899
595,speaker000_0900
596,speaker000_0901
597,speaker000_0902
598,speaker000_0903
599,speaker000_0905
600,speaker000_0906
601,speaker000_0908
602,speaker000_0910
603,speaker000_0912
604,speaker000_0913
605,speaker000_0915
606,speaker000_0917
607,speaker000_0918
608,speaker000_0919
609,speaker000_0920
610,speaker000_0921
611,speaker000_0923
612,speaker000_0924
613,speaker000_0926
614,speaker000_0929
615,speaker000_0930
616,speaker000_0931
617,speaker000_0932
618,speaker000_0933
619,speaker000_0934
620,speaker000_0936
621,speaker000_0937
622,speaker000_0938
623,speaker000_0940
624,speaker000_0942
625,speaker000_0946
626,speaker000_0947
627,speaker000_0948
628,speaker000_0950
629,speaker000_0954
630,speaker000_0955
631,speaker000_0956
632,speaker000_0957
633,speaker000_0958
634,speaker000_0959
635,speaker000_0961
636,speaker000_0964
637,speaker000_0965
638,speaker000_0967
639,speaker000_0968
640,speaker000_0969
641,speaker000_0970
642,speaker000_0971
643,speaker000_0974
644,speaker000_0976
645,speaker000_0977
646,speaker000_0978
647,speaker000_0981
648,speaker000_0982
649,speaker000_0983
650,speaker000_0984
651,speaker000_0985
652,speaker000_0986
653,speaker000_0987
654,speaker000_0990
655,speaker000_0992
656,speaker000_0993
657,speaker000_0994
658,speaker000_0995
659,speaker000_0997
660,speaker000_0998
661,speaker000_0999
662,speaker000_1000
663,speaker000_1001
664,speaker000_1002
665,speaker000_1003
666,speaker000_1004
667,speaker000_1005
668,speaker000_1006
669,speaker000_1007
670,speaker000_1008
671,speaker000_1009
672,speaker000_1010
673,speaker000_1012
674,speaker000_1013
675,speaker000_1016
676,speaker000_1017
677,speaker000_1018
678,speaker000_1019
679,speaker000_1020
680,speaker000_1022
681,speaker000_1023
682,speaker000_1024
683,speaker000_1025
684,speaker000_1026
685,speaker000_1027
686,speaker000_1028
687,speaker000_1029
688,speaker000_1030
689,speaker000_1034
690,speaker000_1035
691,speaker000_1036
692,speaker000_1039
693,speaker000_1043
694,speaker000_1044
695,speaker000_1045
696,speaker000_1047
697,speaker000_1048
698,speaker000_1050
699,speaker000_1053
700,speaker000_1054
701,speaker000_1055
702,speaker000_1056
703,speaker000_1058
704,speaker000_1059
705,speaker000_1061
706,speaker000_1062
707,speaker000_1063
708,speaker000_1064
709,speaker000_1065
710,speaker000_1066
711,speaker000_1067
712,speaker000_1068
713,speaker000_1070
714,speaker000_1071
715,speaker000_1072
716,speaker000_1076
717,speaker000_1077
718,speaker000_1078
719,speaker000_1079
720,speaker000_1080
721,speaker000_1081
722,speaker000_1082
723,speaker000_1083
724,speaker000_1085
725,speaker000_1086
726,speaker000_1087
727,speaker000_1089
728,speaker000_1090
729,speaker000_1093
730,speaker000_1094
731,speaker000_1095
732,speaker000_1096
733,speaker000_1098
734,speaker000_1099
735,speaker000_1100
736,speaker000_1102
737,speaker000_1103
738,speaker000_1105
739,speaker000_1109
740,speaker000_1111
741,speaker000_1112
742,speaker000_1113
743,speaker000_1116
744,speaker000_1118
745,speaker000_1120
746,speaker000_1121
747,speaker000_1122
748,speaker000_1125
749,speaker000_1126
750,speaker000_1127
751,speaker000_1128
752,speaker000_1130
753,speaker000_1131
754,speaker000_1132
755,speaker000_1133
756,speaker000_1134
757,speaker000_1135
758,speaker000_1136
759,speaker000_1137
760,speaker000_1138
761,speaker000_1139
762,speaker000_1141
763,speaker000_1142
764,speaker000_1144
765,speaker000_1145
766,speaker000_1146
767,speaker000_1147
768,speaker000_1148
769,speaker000_1149
770,speaker000_1151
771,speaker000_1153
772,speaker000_1154
773,speaker000_1155
774,speaker000_1156
775,speaker000_1158
776,speaker000_1159
777,speaker000_1161
778,speaker000_1164
779,speaker000_1165
780,speaker000_1167
781,speaker000_1168
782,speaker000_1169
783,speaker000_1171
784,speaker000_1172
785,speaker000_1173
786,speaker000_1174
787,speaker000_1175
788,speaker000_1176
789,speaker000_1177
790,speaker000_1178
791,speaker000_1179
792,speaker000_1181
793,speaker000_1182
794,speaker000_1183
795,speaker000_1184
796,speaker000_1186
797,speaker000_1187
798,speaker000_1190
799,speaker000_1192
800,speaker000_1193
801,speaker000_1194
802,speaker000_1195
803,speaker000_1196
804,speaker000_1197
805,speaker000_1198
806,speaker000_1199
807,speaker000_1200
808,speaker000_1201
809,speaker000_1202
810,speaker000_1203
811,speaker000_1204
812,speaker000_1205
813,speaker000_1206
814,speaker000_1207
815,speaker000_1208
816,speaker000_1210
817,speaker000_1212
818,speaker000_1213
819,speaker000_1214
820,speaker000_1215
821,speaker000_1216
822,speaker000_1217
823,speaker000_1219
824,speaker000_1220
825,speaker000_1222
826,speaker000_1223
827,speaker000_1224
828,speaker000_1225
829,speaker000_1226
830,speaker000_1228
831,speaker000_1229
832,speaker000_1230
833,speaker000_1233
834,speaker000_1234
835,speaker000_1235
836,speaker000_1236
837,speaker000_1241
838,speaker000_1242
839,speaker000_1244
840,speaker000_1245
841,speaker000_1246
842,speaker000_1247
843,speaker000_1250
844,speaker000_1251
845,speaker000_1253
846,speaker000_1254
847,speaker000_1255
848,speaker000_1256
849,speaker000_1257
850,speaker000_1259
851,speaker000_1260
852,speaker000_1261
853,speaker000_1262
854,speaker000_1263
855,speaker000_1264
856,speaker000_1266
857,speaker000_1268
858,speaker000_1269
859,speaker000_1271
860,speaker000_1272
861,speaker000_1273
862,speaker000_1274
863,speaker000_1276
864,speaker000_1277
865,speaker000_1278
866,speaker000_1279
867,speaker000_1280
868,speaker000_1281
869,speaker000_1282
870,speaker000_1283
871,speaker000_1284
872,speaker000_1285
873,speaker000_1286
874,speaker000_1289
875,speaker000_1290
876,speaker000_1293
877,speaker000_1294
878,speaker000_1297
879,speaker000_1300
880,speaker000_1301
881,speaker000_1304
882,speaker000_1306
883,speaker000_1307
884,speaker000_1308
885,speaker000_1309
886,speaker000_1311
887,speaker000_1312
888,speaker000_1313
889,speaker000_1316
890,speaker000_1317
891,speaker000_1320
892,speaker000_1321
893,speaker000_1323
894,speaker000_1324
895,speaker000_1325
896,speaker000_1326
897,speaker000_1327
898,speaker000_1328
899,speaker000_1329
900,speaker000_1330
901,speaker000_1332
902,speaker000_1335
903,speaker000_1336
904,speaker000_1338
905,speaker000_1339
906,speaker000_1341
907,speaker000_1343
908,speaker000_1344
909,speaker000_1345
910,speaker000_1347
911,speaker000_1348
912,speaker000_1349
913,speaker000_1350
914,speaker000_1351
915,speaker000_1352
916,speaker000_1353
917,speaker000_1355
918,speaker000_1357
919,speaker000_1359
920,speaker000_1360
921,speaker000_1362
922,speaker000_1363
923,speaker000_1366
924,speaker000_1368
925,speaker000_1369
926,speaker000_1371
927,speaker000_1372
928,speaker000_1373
929,speaker000_1378
930,speaker000_1380
931,speaker000_1381
932,speaker000_1383
933,speaker000_1385
934,speaker000_1386
935,speaker000_1387
936,speaker000_1388
937,speaker000_1390
938,speaker000_1393
939,speaker000_1394
940,speaker000_1395
941,speaker000_1397
942,speaker000_1398
943,speaker000_1399
944,speaker000_1400
945,speaker000_1401
946,speaker000_1403
947,speaker000_1404
948,speaker000_1405
949,speaker000_1406
950,speaker000_1407
951,speaker000_1408
952,speaker000_1409
953,speaker000_1410
954,speaker000_1411
955,speaker000_1412
956,speaker000_1415
957,speaker000_1416
958,speaker000_1418
959,speaker000_1421
960,speaker000_1422
961,speaker000_1423
962,speaker000_1424
963,speaker000_1425
964,speaker000_1428
965,speaker000_1429
966,speaker000_1430
967,speaker000_1431
968,speaker000_1432
969,speaker000_1433
970,speaker000_1434
971,speaker000_1436
972,speaker000_1437
973,speaker000_1439
974,speaker000_1442
975,speaker000_1443
976,speaker000_1444
977,speaker000_1445
978,speaker000_1446
979,speaker000_1450
980,speaker000_1452
981,speaker000_1453
982,speaker000_1455
983,speaker000_1456
984,speaker000_1457
985,speaker000_1458
986,speaker000_1459
987,speaker000_1460
988,speaker000_1461
989,speaker000_1462
990,speaker000_1464
991,speaker000_1465
992,speaker000_1466
993,speaker000_1467
994,speaker000_1468
995,speaker000_1472
996,speaker000_1474
997,speaker000_1477
998,speaker000_1478
999,speaker000_1479
1000,speaker000_1481
1001,speaker000_1483
1002,speaker000_1485
1003,speaker000_1487
1004,speaker000_1488
1005,speaker000_1490
1006,speaker000_1492
1007,speaker000_1495
1008,speaker000_1496
1009,speaker000_1498
1010,speaker000_1499
1011,speaker000_1500
1012,speaker000_1502
1013,speaker000_1503
1014,speaker000_1504
1015,speaker000_1506
1016,speaker000_1507
1017,speaker000_1509
1018,speaker000_1510
1019,speaker000_1511
1020,speaker000_1513
1021,speaker000_1516
1022,speaker000_1517
1023,speaker000_1518
1024,speaker000_1519
1025,speaker000_1521
1026,speaker000_1522
1027,speaker001_0000
1028,speaker001_0001
1029,speaker001_0002
1030,speaker001_0003
1031,speaker001_0004
1032,speaker001_0006
1033,speaker001_0007
1034,speaker001_0008
1035,speaker001_0010
1036,speaker001_0011
1037,speaker001_0014
1038,speaker001_0015
1039,speaker001_0016
1040,speaker001_0017
1041,speaker001_0019
1042,speaker001_0021
1043,speaker001_0022
1044,speaker001_0023
1045,speaker001_0026
1046,speaker001_0027
1047,speaker001_0028
1048,speaker001_0029
1049,speaker001_0030
1050,speaker001_0032
1051,speaker001_0033
1052,speaker001_0034
1053,speaker001_0035
1054,speaker001_0037
1055,speaker001_0038
1056,speaker001_0039
1057,speaker001_0040
1058,speaker001_0042
1059,speaker001_0044
1060,speaker001_0045
1061,speaker001_0046
1062,speaker001_0047
1063,speaker001_0048
1064,speaker001_0052
1065,speaker001_0053
1066,speaker001_0055
1067,speaker001_0056
1068,speaker001_0057
1069,speaker001_0059
1070,speaker001_0060
1071,speaker001_0061
1072,speaker001_0063
1073,speaker001_0065
1074,speaker001_0066
1075,speaker001_0067
1076,speaker001_0068
1077,speaker001_0069
1078,speaker001_0070
1079,speaker001_0073
1080,speaker001_0074
1081,speaker001_0075
1082,speaker001_0076
1083,speaker001_0077
1084,speaker001_0078
1085,speaker001_0079
1086,speaker001_0080
1087,speaker001_0081
1088,speaker001_0082
1089,speaker001_0084
1090,speaker001_0086
1091,speaker001_0087
1092,speaker001_0088
1093,speaker001_0089
1094,speaker001_0090
1095,speaker001_0091
1096,speaker001_0093
1097,speaker001_0094
1098,speaker001_0095
1099,speaker001_0096
1100,speaker001_0100
1101,speaker001_0101
1102,speaker001_0102
1103,speaker001_0103
1104,speaker001_0105
1105,speaker001_0106
1106,speaker001_0110
1107,speaker001_0111
1108,speaker001_0112
1109,speaker001_0115
1110,speaker001_0116
1111,speaker001_0117
1112,speaker001_0118
1113,speaker001_0119
1114,speaker001_0120
1115,speaker001_0121
1116,speaker001_0122
1117,speaker001_0123
1118,speaker001_0124
1119,speaker001_0125
1120,speaker001_0128
1121,speaker001_0129
1122,speaker001_0130
1123,speaker001_0131
1124,speaker001_0132
1125,speaker001_0133
1126,speaker001_0134
1127,speaker001_0135
1128,speaker001_0137
1129,speaker001_0138
1130,speaker001_0141
1131,speaker001_0142
1132,speaker001_0143
1133,speaker001_0144
1134,speaker001_0147
1135,speaker001_0148
1136,speaker001_0149
1137,speaker001_0151
1138,speaker001_0152
1139,speaker001_0154
1140,speaker001_0155
1141,speaker001_0156
1142,speaker001_0157
1143,speaker001_0158
1144,speaker001_0159
1145,speaker001_0160
1146,speaker001_0161
1147,speaker001_0162
1148,speaker001_0164
1149,speaker001_0165
1150,speaker001_0167
1151,speaker001_0168
1152,speaker001_0170
1153,speaker001_0171
1154,speaker001_0172
1155,speaker001_0174
1156,speaker001_0176
1157,speaker001_0177
1158,speaker001_0180
1159,speaker001_0181
1160,speaker001_0182
1161,speaker001_0186
1162,speaker001_0187
1163,speaker001_0188
1164,speaker001_0189
1165,speaker001_0190
1166,speaker001_0192
1167,speaker001_0193
1168,speaker001_0198
1169,speaker001_0199
1170,speaker001_0200
1171,speaker001_0202
1172,speaker001_0205
1173,speaker001_0206
1174,speaker001_0207
1175,speaker001_0208
1176,speaker001_0209
1177,speaker001_0210
1178,speaker001_0211
1179,speaker001_0212
1180,speaker001_0213
1181,speaker001_0214
1182,speaker001_0215
1183,speaker001_0217
1184,speaker001_0219
1185,speaker001_0220
1186,speaker001_0222
1187,speaker001_0223
1188,speaker001_0225
1189,speaker001_0226
1190,speaker001_0227
1191,speaker001_0230
1192,speaker001_0231
1193,speaker001_0235
1194,speaker001_0236
1195,speaker001_0237
1196,speaker001_0239
1197,speaker001_0240
1198,speaker001_0243
1199,speaker001_0244
1200,speaker001_0245
1201,speaker001_0246
1202,speaker001_0247
1203,speaker001_0248
1204,speaker001_0249
1205,speaker001_0250
1206,speaker001_0252
1207,speaker001_0253
1208,speaker001_0254
1209,speaker001_0255
1210,speaker001_0257
1211,speaker001_0258
1212,speaker001_0261
1213,speaker001_0262
1214,speaker001_0263
1215,speaker001_0264
1216,speaker001_0265
1217,speaker001_0266
1218,speaker001_0267
1219,speaker001_0269
1220,speaker001_0271
1221,speaker001_0272
1222,speaker001_0274
1223,speaker001_0277
1224,speaker001_0280
1225,speaker001_0282
1226,speaker001_0283
1227,speaker001_0284
1228,speaker001_0285
1229,speaker001_0286
1230,speaker001_0287
1231,speaker001_0288
1232,speaker001_0289
1233,speaker001_0290
1234,speaker001_0291
1235,speaker001_0292
1236,speaker001_0294
1237,speaker001_0295
1238,speaker001_0296
1239,speaker001_0297
1240,speaker001_0299
1241,speaker001_0300
1242,speaker001_0301
1243,speaker001_0302
1244,speaker001_0303
1245,speaker001_0304
1246,speaker001_0305
1247,speaker001_0306
1248,speaker001_0307
1249,speaker001_0308
1250,speaker001_0310
1251,speaker001_0311
1252,speaker001_0312
1253,speaker001_0313
1254,speaker001_0315
1255,speaker001_0316
1256,speaker001_0317
1257,speaker001_0318
1258,speaker001_0319
1259,speaker001_0321
1260,speaker001_0322
1261,speaker001_0323
1262,speaker001_0325
1263,speaker001_0329
1264,speaker001_0330
1265,speaker001_0331
1266,speaker001_0334
1267,speaker001_0335
1268,speaker001_0336
1269,speaker001_0337
1270,speaker001_0338
1271,speaker001_0339
1272,speaker001_0340
1273,speaker001_0343
1274,speaker001_0344
1275,speaker001_0345
1276,speaker001_0346
1277,speaker001_0348
1278,speaker001_0349
1279,speaker001_0350
1280,speaker001_0351
1281,speaker001_0352
1282,speaker001_0354
1283,speaker001_0357
1284,speaker001_0359
1285,speaker001_0361
1286,speaker001_0362
1287,speaker001_0363
1288,speaker001_0365
1289,speaker001_0367
1290,speaker001_0369
1291,speaker001_0371
1292,speaker001_0374
1293,speaker001_0376
1294,speaker001_0377
1295,speaker001_0378
1296,speaker001_0379
1297,speaker001_0380
1298,speaker001_0381
1299,speaker001_0382
1300,speaker001_0383
1301,speaker001_0385
1302,speaker001_0389
1303,speaker001_0391
1304,speaker001_0392
1305,speaker001_0393
1306,speaker001_0395
1307,speaker001_0396
1308,speaker001_0398
1309,speaker001_0399
1310,speaker001_0401
1311,speaker001_0404
1312,speaker002_0000
1313,speaker002_0001
1314,speaker002_0003
1315,speaker002_0004
1316,speaker002_0006
1317,speaker002_0007
1318,speaker002_0010
1319,speaker002_0011
1320,speaker002_0012
1321,speaker002_0013
1322,speaker002_0014
1323,speaker002_0015
1324,speaker002_0016
1325,speaker002_0018
1326,speaker002_0019
1327,speaker002_0020
1328,speaker002_0021
1329,speaker002_0022
1330,speaker002_0023
1331,speaker002_0025
1332,speaker002_0026
1333,speaker002_0028
1334,speaker002_0029
1335,speaker002_0030
1336,speaker002_0032
1337,speaker002_0035
1338,speaker002_0036
1339,speaker002_0037
1340,speaker002_0041
1341,speaker002_0042
1342,speaker002_0044
1343,speaker002_0045
1344,speaker002_0046
1345,speaker002_0047
1346,speaker002_0049
1347,speaker002_0050
1348,speaker002_0051
1349,speaker002_0052
1350,speaker002_0053
1351,speaker002_0054
1352,speaker002_0055
1353,speaker002_0060
1354,speaker002_0061
1355,speaker002_0062
1356,speaker002_0064
1357,speaker002_0065
1358,speaker002_0066
1359,speaker002_0067
1360,speaker002_0068
1361,speaker002_0069
